iter	Passed	Remaining
0	26	49917
1	50	47073
2	80	50309
3	110	51721
4	140	52650
5	171	53317
6	200	53537
7	231	53938
8	261	54116
9	290	54153
10	297	50365
11	326	50722
12	356	51129
13	386	51403
14	416	51677
15	446	51843
16	476	52050
17	508	52438
18	538	52610
19	568	52690
20	598	52824
21	617	51972
22	645	51971
23	673	51978
24	704	52133
25	735	52288
26	766	52435
27	796	52511
28	827	52643
29	855	52639
30	885	52694
31	915	52744
32	945	52796
33	975	52841
34	1005	52851
35	1035	52906
36	1065	52920
37	1095	52938
38	1124	52961
39	1154	52961
40	1185	53017
41	1214	53020
42	1245	53055
43	1286	53537
44	1316	53527
45	1346	53528
46	1354	52695
47	1384	52684
48	1414	52693
49	1443	52683
50	1488	53220
51	1517	53190
52	1547	53203
53	1577	53182
54	1613	53397
55	1643	53376
56	1673	53371
57	1702	53345
58	1732	53319
59	1761	53284
60	1793	53322
61	1823	53327
62	1853	53317
63	1884	53315
64	1916	53357
65	1945	53324
66	1976	53342
67	2008	53372
68	2038	53355
69	2069	53372
70	2098	53331
71	2128	53296
72	2158	53284
73	2188	53260
74	2218	53232
75	2247	53194
76	2278	53196
77	2309	53199
78	2321	52783
79	2350	52730
80	2378	52685
81	2408	52655
82	2437	52622
83	2467	52614
84	2498	52610
85	2527	52585
86	2557	52556
87	2586	52529
88	2616	52511
89	2645	52476
90	2675	52450
91	2707	52468
92	2737	52456
93	2767	52429
94	2795	52380
95	2807	52023
96	2837	52004
97	2867	51987
98	2896	51955
99	2925	51921
100	2955	51913
101	2985	51894
102	3014	51868
103	3044	51842
104	3073	51814
105	3104	51811
106	3134	51794
107	3164	51776
108	3193	51741
109	3223	51725
110	3253	51698
111	3283	51683
112	3312	51656
113	3342	51625
114	3372	51607
115	3402	51598
116	3431	51563
117	3461	51548
118	3493	51554
119	3523	51524
120	3553	51508
121	3583	51497
122	3614	51477
123	3643	51445
124	3674	51440
125	3704	51423
126	3735	51410
127	3764	51384
128	3794	51356
129	3824	51336
130	3855	51324
131	3886	51315
132	3915	51286
133	3959	51446
134	3988	51405
135	4019	51396
136	4049	51377
137	4078	51340
138	4108	51312
139	4138	51289
140	4169	51280
141	4199	51251
142	4228	51217
143	4259	51200
144	4289	51178
145	4318	51144
146	4348	51117
147	4378	51093
148	4408	51064
149	4440	51060
150	4470	51040
151	4498	50995
152	4528	50963
153	4557	50930
154	4585	50889
155	4615	50862
156	4645	50833
157	4676	50821
158	4705	50787
159	4734	50751
160	4765	50732
161	4795	50704
162	4824	50671
163	4854	50646
164	4883	50608
165	4913	50585
166	4942	50553
167	4972	50526
168	5001	50491
169	5032	50473
170	5063	50453
171	5092	50425
172	5123	50409
173	5153	50380
174	5182	50344
175	5211	50310
176	5242	50290
177	5272	50268
178	5302	50237
179	5331	50208
180	5362	50189
181	5392	50163
182	5421	50128
183	5451	50098
184	5481	50078
185	5511	50043
186	5547	50078
187	5584	50111
188	5614	50086
189	5644	50054
190	5672	50015
191	5702	49985
192	5732	49960
193	5761	49924
194	5791	49899
195	5821	49872
196	5852	49846
197	5882	49826
